Annual Turnover,Facebook Popularity Quotient,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Ambience,Lively,Service,Comfortablility,Privacy,Years Since Opening,city_average_income,median_household_income,average_salary,poverty_rate,gini_index,City_Tier_Other,City_Tier_Tier 1,City_Tier_Tier 2,City_Tier_Tier 3,Restaurant Location_Near Business Hub,Restaurant Location_Near Party Hub,Endorsed By_Local Celebrity,Endorsed By_Not Specific,Endorsed By_Tier A Celebrity
42000000,84.3,95.8,1,1,1,0,1,2.0,3,0,2,5,5,5,7,10.0,8.0,8,6,6,6,16.465434633812457,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50000000,85.4,85.0,1,1,1,1,0,2.0,3,0,6,6,6,7,8,9.0,5.0,7,7,3,8,16.843258042436688,7000.0,5500.0,8000.0,20.0,0.33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
32500000,85.0,68.2,1,1,1,1,0,2.0,3,0,2,6,5,3,7,8.0,7.0,10,5,2,8,14.012320328542094,9000.0,7000.0,10000.0,15.8,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
64500000,85.6,83.6,0,1,1,1,1,1.0,3,1,7,6,5,6,8,9.0,7.0,7,4,3,5,16.673511293634498,12000.0,9000.0,13500.0,11.0,0.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30000000,86.08,67.5,1,1,0,1,1,2.0,3,1,2,5,4,3,10,7.0,10.0,6,2,0,4,13.514031485284052,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40000000,92.0,91.0,1,1,1,1,1,1.0,0,0,8,5,5,5,6,9.0,6.0,9,5,4,9,14.198494182067078,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35000000,69.54,64.43,1,1,1,1,0,2.0,2,0,8,4,5,3,5,7.0,10.0,10,6,3,9,16.555783709787818,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12000000,65.0,64.8,1,1,1,1,1,2.0,2,0,3,4,4,5,7,8.0,6.0,7,7,3,9,13.66735112936345,12000.0,9000.0,13500.0,11.0,0.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
32500000,79.0,62.2,0,1,1,1,1,2.0,3,0,6,4,4,4,5,9.0,8.0,7,4,3,6,15.68788501026694,9200.0,7100.0,10500.0,14.9,0.36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32000000,91.2,84.63,1,1,1,1,1,2.0,3,0,5,4,5,4,5,10.0,6.0,8,6,3,7,18.036960985626283,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20000000,75.67,74.4,1,1,0,0,1,2.0,3,0,5,3,5,4,8,10.0,4.0,5,2,4,4,14.967830253251195,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
18000000,70.0,43.42,1,1,1,1,0,2.0,1,1,6,3,3,2,8,10.0,5.0,2,1,3,0,20.024640657084188,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
43500000,86.8,82.8,0,1,1,1,1,2.0,3,0,3,5,5,5,5,10.0,7.0,9,3,5,6,15.436002737850789,12000.0,9000.0,13500.0,11.0,0.37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
34500000,90.88,82.5,0,1,1,1,1,2.0,2,0,9,4,3,4,7,9.0,8.0,7,1,7,9,18.50513347022587,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
30000000,76.8,83.0,1,1,1,1,1,2.0,3,0,1,5,5,6,7,9.0,8.0,9,6,3,5,13.514031485284052,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14500000,84.0,68.0,1,1,1,1,1,2.0,3,0,2,5,5,3,9,7.0,7.0,8,7,3,6,12.54757015742642,9800.0,7500.0,11200.0,13.5,0.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22000000,64.0,74.0,0,1,0,1,0,2.0,2,0,8,4,3,4,6,8.0,0.0,3,5,4,5,14.157426420260096,12000.0,9000.0,13500.0,11.0,0.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34000000,77.2,86.1,1,1,1,1,0,2.0,3,0,7,5,4,4,10,10.0,6.0,9,7,0,7,13.790554414784394,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
36000000,87.0,84.4,0,1,1,1,1,1.0,3,1,8,5,4,2,7,8.0,5.0,6,2,6,6,14.899383983572896,9800.0,7500.0,11200.0,13.5,0.37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14500000,73.0,68.4,1,1,1,0,1,2.0,3,1,9,5,5,6,9,9.0,5.0,8,3,2,9,14.584531143052704,7500.0,5800.0,8500.0,19.5,0.34,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
27000000,91.5,93.8,1,1,1,1,1,1.0,3,1,10,3,5,5,8,8.0,4.0,7,5,4,6,13.963039014373717,9500.0,7200.0,11000.0,16.5,0.36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8000000,77.0,85.4,1,1,0,1,1,2.0,2,0,9,4,6,4,7,10.0,7.0,8,5,0,6,13.481177275838467,12000.0,9000.0,13500.0,11.0,0.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33000000,52.33,67.0,1,1,1,1,1,2.0,3,0,3,4,5,5,5,10.0,6.0,9,6,5,8,14.850102669404516,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
12000000,66.6,68.6,1,1,1,1,1,2.0,2,0,1,4,5,4,10,6.0,6.0,7,5,3,8,17.2621492128679,5000.0,3800.0,6000.0,29.4,0.31,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
14500000,75.0,60.0,1,1,1,1,1,2.0,2,0,6,3,5,4,8,7.0,5.0,4,2,1,4,14.297056810403832,10000.0,7800.0,11500.0,14.2,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35000000,91.4,73.0,0,1,1,1,1,1.0,3,0,10,5,5,8,7,7.0,6.0,7,3,1,4,14.65845311430527,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12000000,59.0,87.7,1,1,1,1,1,2.0,3,1,5,3,3,3,6,6.0,6.0,2,4,4,0,13.092402464065708,9500.0,7200.0,11000.0,16.5,0.36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11000000,95.8,87.16,1,1,1,1,1,2.0,3,0,10,4,3,5,8,6.0,5.0,4,5,2,4,13.820670773442847,9000.0,7000.0,10000.0,15.8,0.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20500000,85.6,82.0,1,1,1,1,1,2.0,3,0,8,3,4,4,5,6.0,7.0,8,5,3,8,14.872005475701574,9800.0,7500.0,11200.0,13.5,0.37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
39000000,86.6,75.0,1,1,1,1,0,2.0,3,0,4,5,5,5,8,7.0,1.0,7,5,4,8,15.441478439425053,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27000000,81.92,61.46,1,1,1,1,1,2.0,1,1,10,5,4,4,9,9.0,9.0,10,8,0,9,17.366187542778917,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6000000,66.5,49.5,0,1,1,1,1,2.0,4,0,10,5,5,4,6,9.0,4.0,7,0,6,7,18.48323066392881,7200.0,5600.0,8200.0,22.0,0.31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
12000000,80.0,72.5,0,1,1,1,1,2.0,1,0,6,5,4,4,10,10.0,6.0,6,2,3,4,14.76249144421629,9500.0,7200.0,11000.0,16.5,0.36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40000000,85.2,81.5,1,1,1,1,0,2.0,1,0,10,5,3,4,7,10.0,9.0,7,7,5,7,14.414784394250514,10500.0,8000.0,12000.0,17.0,0.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
35000000,89.25,78.0,1,1,1,0,1,2.0,4,1,6,5,5,5,5,10.0,6.0,6,3,0,4,15.006160164271048,10500.0,8000.0,12000.0,17.0,0.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25000000,90.8,90.1,1,1,1,0,1,2.0,2,0,9,5,5,5,8,8.0,6.0,8,4,6,6,14.483230663928817,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
24000000,78.0,70.1,1,1,0,1,1,2.0,2,0,4,4,5,4,8,10.0,8.0,6,3,2,5,17.065023956194388,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
52500000,89.88,95.4,1,1,1,0,1,2.0,4,1,1,5,4,6,7,10.0,7.0,6,3,3,6,16.980150581793293,9500.0,7200.0,11000.0,16.5,0.36,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20000000,63.3,61.1,1,1,1,1,1,2.0,2,0,2,4,5,6,6,6.0,4.0,5,4,3,4,16.366872005475702,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
12000000,72.0,49.0,1,1,1,1,0,2.0,1,0,4,6,4,2,5,8.0,6.0,6,3,3,6,28.77207392197125,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30500000,83.0,79.0,1,1,0,0,1,2.0,3,1,5,4,4,3,10,6.0,6.0,6,5,7,6,14.614647501711156,9000.0,7000.0,10000.0,15.8,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
30000000,85.3,88.3,1,1,1,1,0,2.0,4,1,6,3,3,3,8,7.0,10.0,10,5,4,8,13.10609171800137,9000.0,7000.0,10000.0,15.8,0.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
14500000,81.0,77.8,0,1,1,0,0,2.0,2,0,9,5,5,3,7,7.0,4.0,5,5,2,5,15.436002737850789,9800.0,7500.0,11200.0,13.5,0.37,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15000000,60.66,62.4,1,1,1,1,1,2.0,2,0,5,3,4,4,7,10.0,2.0,1,0,4,0,14.576317590691309,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
31000000,89.37,79.0,1,1,1,1,1,2.0,3,0,1,6,5,5,10,7.0,8.0,9,4,1,9,15.682409308692677,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
45500000,90.0,94.4,1,1,1,0,1,2.0,3,0,2,5,5,5,7,6.0,6.0,6,5,1,6,16.941820670773442,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40000000,81.0,79.0,0,1,1,1,1,2.0,3,0,10,5,5,5,6,8.0,3.0,0,0,5,3,15.00889801505818,11000.0,8500.0,12500.0,12.5,0.38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15000000,78.0,86.67,1,1,1,1,1,2.0,3,1,10,5,4,5,5,9.0,5.0,9,5,3,6,17.39082819986311,9000.0,7000.0,10000.0,15.8,0.35,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25000000,84.4,73.2,1,1,1,0,1,2.0,3,0,9,5,4,5,10,10.0,6.0,8,5,2,6,13.560574948665298,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
