Annual Turnover,Cuisine,City,Restaurant Location,Opening Day of Restaurant,Facebook Popularity Quotient,Endorsed By,Instagram Popularity Quotient,Fire Audit,Liquor License Obtained,Situated in a Multi Complex,Dedicated Parking,Open Sitting Available,Resturant Tier,Restaurant Type,Restaurant Theme,Restaurant Zomato Rating,Restaurant City Tier,Order Wait Time,Staff Responsivness,Value for Money,Hygiene Rating,Food Rating,Overall Restaurant Rating,Live Music Rating,Ambience,Lively,Service,Comfortablility,Privacy,Years Since Opening,City_Clean,Country,City_Tier
42000000,"indian,irish",Bangalore,Near Business Hub,2009-02-14,84.3,Not Specific,95.8,1,1,1,0,1,2.0,Bar,Arabian,3,0,2,5,5,5,7,10.0,4.0,8.0,8,6,6,6,16.465434633812457,bangalore,India,Tier 1
50000000,"indian,irish",Indore,Near Party Hub,2008-09-29,85.4,Tier A Celebrity,85.0,1,1,1,1,0,2.0,Bar,Greek,3,0,6,6,6,7,8,9.0,,5.0,7,7,3,8,16.843258042436688,indore,India,Tier 2
32500000,"tibetan,italian",Chennai,Near Business Hub,2011-07-30,85.0,Tier A Celebrity,68.2,1,1,1,1,0,2.0,Bar,90's,3,0,2,6,5,3,7,8.0,3.0,7.0,10,5,2,8,14.012320328542094,chennai,India,Tier 1
65000000,"turkish,nigerian",Gurgaon,Near Party Hub,2008-11-30,85.6,Tier A Celebrity,83.6,0,1,1,1,1,1.0,Bar,Arabian,3,1,7,6,5,6,8,9.0,6.0,7.0,7,4,3,5,16.673511293634498,gurgaon,India,Tier 1
20000000,"irish,belgian",Manesar,Near Party Hub,2010-02-22,,Tier A Celebrity,76.8,1,1,1,1,1,,Bar,Greek,3,0,10,5,6,4,8,6.0,,,6,2,4,6,15.444216290212184,manesar,India,Tier 3
30000000,"tibetan,greek",Hyderabad,Near Party Hub,2011-06-28,89.92,Not Specific,87.0,1,1,1,1,1,2.0,Bar,Greek,3,0,10,5,5,6,8,,6.0,6.0,5,0,2,5,14.099931553730322,hyderabad,India,Tier 1
30000000,"indian,irish",Banglore,Near Party Hub,2012-01-28,86.08,Not Specific,67.5,1,1,0,1,1,2.0,Bar,Arabian,3,1,2,5,4,3,10,7.0,4.0,10.0,6,2,0,4,13.514031485284052,bangalore,India,Tier 1
40000000,"indian,irish",Bangalore,Near Party Hub,2011-05-23,92.0,Tier A Celebrity,91.0,1,1,1,1,1,1.0,Bar,Nature,0,0,8,5,5,5,6,9.0,,6.0,9,5,4,9,14.198494182067078,bangalore,India,Tier 1
60000000,"chinese,salvadorian",Noida,Near Party Hub,2010-09-12,90.0,Tier A Celebrity,,0,1,0,1,0,,Bar,Greek,4,1,4,6,6,5,9,10.0,7.0,6.0,8,3,2,6,14.8911704312115,noida,India,Tier 1
23000000,"algerian,belgian",Kolkata,Near Party Hub,2012-06-08,,Tier A Celebrity,,1,1,1,1,1,2.0,Bar,Greek,3,1,9,6,5,5,5,8.0,3.0,4.0,8,3,5,7,13.152635181382614,kolkata,India,Tier 1
